cmod, load_min, load_max
0.0271424000, 804.03, 1067.88
0.0271780000, 805.63, 1069.23
0.0272136000, 804.24, 1068.37
0.0272491900, 803.99, 1067.77
0.0272848000, 803.81, 1068.27
0.0273203900, 803.25, 1068.67
0.0273559900, 802.63, 1068.58
0.0273915900, 802.52, 1069.15
0.0274271900, 801.81, 1067.84
0.0274627900, 802.63, 1068.41
0.0274983900, 800.75, 1067.10
0.0275339900, 800.67, 1067.39
0.0275695900, 801.08, 1066.89
0.0276051900, 801.34, 1066.67
0.0276407900, 799.45, 1066.75
0.0276763900, 799.34, 1066.31
0.0277119900, 798.79, 1066.85
0.0277475900, 798.91, 1065.95
0.0277831900, 798.45, 1066.75
0.0278187900, 799.98, 1065.24
0.0278543900, 797.87, 1065.54
0.0278899900, 798.93, 1064.75
0.0279255800, 798.27, 1064.51
0.0279611900, 798.08, 1064.10
0.0279967800, 798.31, 1063.32
0.0280323800, 797.60, 1063.22
0.0280679800, 797.29, 1060.91
0.0281035800, 796.78, 1058.81
0.0281391800, 796.80, 1050.03
0.0281747800, 795.89, 1048.17
0.0282103800, 797.20, 1047.80
0.0282459800, 795.84, 1045.08
0.0282815800, 796.48, 1044.51
0.0283171800, 795.21, 1042.65
0.0283527800, 794.77, 1041.20
0.0283883800, 795.19, 1039.13
